id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
622,422,346,13110,1659,Cancelled,2025-09-12 01:11:58.000000 UTC,,,,188.0
622,422,346,13110,1659,Cancelled,2025-09-12 01:11:58.000000 UTC,,,,188.0
4527,3084,2455,4908,12203,Cancelled,2025-06-05 13:19:31.000000 UTC,,,,79.0
4527,3084,2455,4908,12203,Cancelled,2025-06-05 13:19:31.000000 UTC,,,,79.0
4527,3084,2455,4908,12203,Cancelled,2025-06-05 13:19:31.000000 UTC,,,,79.0
6808,4628,3693,13694,18383,Cancelled,2025-04-24 11:43:46.000000 UTC,,,,14.0
6808,4628,3693,13694,18383,Cancelled,2025-04-24 11:43:46.000000 UTC,,,,14.0
6809,4629,3693,255,18385,Cancelled,2025-03-26 13:05:49.000000 UTC,,,,9.9899997711181641
6809,4629,3693,255,18385,Cancelled,2025-03-26 13:05:49.000000 UTC,,,,9.9899997711181641
11285,7704,6177,13715,30528,Cancelled,2025-11-10 13:02:42.000000 UTC,,,,15.159999847412108
11288,7704,6177,13671,30534,Cancelled,2025-11-11 13:54:28.000000 UTC,,,,32.9900016784668
11287,7704,6177,5059,30532,Cancelled,2025-11-09 13:25:19.000000 UTC,,,,39.9900016784668
11286,7704,6177,104,30530,Cancelled,2025-11-08 11:04:57.000000 UTC,,,,198.0
11285,7704,6177,13715,30528,Cancelled,2025-11-10 13:02:42.000000 UTC,,,,15.159999847412108
11288,7704,6177,13671,30534,Cancelled,2025-11-11 13:54:28.000000 UTC,,,,32.9900016784668
11287,7704,6177,5059,30532,Cancelled,2025-11-09 13:25:19.000000 UTC,,,,39.9900016784668
11286,7704,6177,104,30530,Cancelled,2025-11-08 11:04:57.000000 UTC,,,,198.0
11285,7704,6177,13715,30528,Cancelled,2025-11-10 13:02:42.000000 UTC,,,,15.159999847412108
11288,7704,6177,13671,30534,Cancelled,2025-11-11 13:54:28.000000 UTC,,,,32.9900016784668
11287,7704,6177,5059,30532,Cancelled,2025-11-09 13:25:19.000000 UTC,,,,39.9900016784668
11286,7704,6177,104,30530,Cancelled,2025-11-08 11:04:57.000000 UTC,,,,198.0
12639,8634,6889,4039,34150,Cancelled,2025-04-24 09:08:44.000000 UTC,,,,81.0
12639,8634,6889,4039,34150,Cancelled,2025-04-24 09:08:44.000000 UTC,,,,81.0
12639,8634,6889,4039,34150,Cancelled,2025-04-24 09:08:44.000000 UTC,,,,81.0
12639,8634,6889,4039,34150,Cancelled,2025-04-24 09:08:44.000000 UTC,,,,81.0
12752,8708,6948,7486,34468,Cancelled,2025-10-13 23:44:46.000000 UTC,,,,26.969999313354489
12752,8708,6948,7486,34468,Cancelled,2025-10-13 23:44:46.000000 UTC,,,,26.969999313354489
16648,11382,9126,8647,45006,Cancelled,2025-11-03 08:14:42.000000 UTC,,,,119.4499969482422
16647,11382,9126,7620,45004,Cancelled,2025-11-05 04:22:02.000000 UTC,,,,198.0
16648,11382,9126,8647,45006,Cancelled,2025-11-03 08:14:42.000000 UTC,,,,119.4499969482422
16647,11382,9126,7620,45004,Cancelled,2025-11-05 04:22:02.000000 UTC,,,,198.0
16648,11382,9126,8647,45006,Cancelled,2025-11-03 08:14:42.000000 UTC,,,,119.4499969482422
16647,11382,9126,7620,45004,Cancelled,2025-11-05 04:22:02.000000 UTC,,,,198.0
16649,11383,9126,7160,45010,Cancelled,2024-10-19 07:35:09.000000 UTC,,,,34.279998779296875
16649,11383,9126,7160,45010,Cancelled,2024-10-19 07:35:09.000000 UTC,,,,34.279998779296875
16649,11383,9126,7160,45010,Cancelled,2024-10-19 07:35:09.000000 UTC,,,,34.279998779296875
16650,11384,9126,11321,45012,Cancelled,2025-10-17 06:24:41.000000 UTC,,,,80.0
16650,11384,9126,11321,45012,Cancelled,2025-10-17 06:24:41.000000 UTC,,,,80.0
16650,11384,9126,11321,45012,Cancelled,2025-10-17 06:24:41.000000 UTC,,,,80.0
23965,16429,13095,1618,64815,Cancelled,2025-01-16 10:27:14.000000 UTC,,,,36.9900016784668
23965,16429,13095,1618,64815,Cancelled,2025-01-16 10:27:14.000000 UTC,,,,36.9900016784668
23965,16429,13095,1618,64815,Cancelled,2025-01-16 10:27:14.000000 UTC,,,,36.9900016784668
23965,16429,13095,1618,64815,Cancelled,2025-01-16 10:27:14.000000 UTC,,,,36.9900016784668
24966,17145,13687,9883,67508,Cancelled,2025-06-18 09:19:39.000000 UTC,,,,125.0
28399,19505,15543,10368,76738,Cancelled,2025-06-03 23:16:40.000000 UTC,,,,34.9900016784668
28400,19505,15543,13557,76741,Cancelled,2025-06-03 21:43:01.000000 UTC,,,,78.0
28399,19505,15543,10368,76738,Cancelled,2025-06-03 23:16:40.000000 UTC,,,,34.9900016784668
28400,19505,15543,13557,76741,Cancelled,2025-06-03 21:43:01.000000 UTC,,,,78.0
28399,19505,15543,10368,76738,Cancelled,2025-06-03 23:16:40.000000 UTC,,,,34.9900016784668
28400,19505,15543,13557,76741,Cancelled,2025-06-03 21:43:01.000000 UTC,,,,78.0
31968,21973,17523,10738,86314,Cancelled,2025-03-04 09:11:24.000000 UTC,,,,20.0
33601,23125,18449,10,90730,Cancelled,2025-06-12 12:44:31.000000 UTC,,,,59.5
33601,23125,18449,10,90730,Cancelled,2025-06-12 12:44:31.000000 UTC,,,,59.5
33601,23125,18449,10,90730,Cancelled,2025-06-12 12:44:31.000000 UTC,,,,59.5
33601,23125,18449,10,90730,Cancelled,2025-06-12 12:44:31.000000 UTC,,,,59.5
33602,23126,18449,14697,90732,Cancelled,2024-11-24 09:28:24.000000 UTC,,,,34.9900016784668
33602,23126,18449,14697,90732,Cancelled,2024-11-24 09:28:24.000000 UTC,,,,34.9900016784668
33602,23126,18449,14697,90732,Cancelled,2024-11-24 09:28:24.000000 UTC,,,,34.9900016784668
33602,23126,18449,14697,90732,Cancelled,2024-11-24 09:28:24.000000 UTC,,,,34.9900016784668
35312,24272,19381,9575,95352,Cancelled,2025-10-29 08:41:12.000000 UTC,,,,58.450000762939446
35312,24272,19381,9575,95352,Cancelled,2025-10-29 08:41:12.000000 UTC,,,,58.450000762939446
35312,24272,19381,9575,95352,Cancelled,2025-10-29 08:41:12.000000 UTC,,,,58.450000762939446
35312,24272,19381,9575,95352,Cancelled,2025-10-29 08:41:12.000000 UTC,,,,58.450000762939446
35925,24682,19677,11965,96977,Cancelled,2024-11-24 00:51:42.000000 UTC,,,,24.0
35925,24682,19677,11965,96977,Cancelled,2024-11-24 00:51:42.000000 UTC,,,,24.0
40243,27703,22082,784,108589,Cancelled,2025-05-28 05:32:19.000000 UTC,,,,119.0
40244,27703,22082,8604,108592,Cancelled,2025-05-25 06:31:47.000000 UTC,,,,399.0
52326,36068,28749,9819,141153,Cancelled,2025-02-02 00:15:25.000000 UTC,,,,24.969999313354489
52326,36068,28749,9819,141153,Cancelled,2025-02-02 00:15:25.000000 UTC,,,,24.969999313354489
56361,38926,31070,5751,152063,Cancelled,2024-10-12 11:49:56.000000 UTC,,,,13.640000343322754
