id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
13110,77.45600026473403,Swim,Gottex Women's Andromeda Bandeau One Piece Swimsuit,Gottex,188.0,Women,3E55526969E8DF9FFAEFE69D1D590825,1
13110,77.45600026473403,Swim,Gottex Women's Andromeda Bandeau One Piece Swimsuit,Gottex,188.0,Women,3E55526969E8DF9FFAEFE69D1D590825,1
4908,43.054999920539558,Jeans,Liverpool Jeans Company Women's Color Your World Sadie Straight,Liverpool Jeans Company,79.0,Women,1B33D16FC562464579B7199CA3114982,4
4908,43.054999920539558,Jeans,Liverpool Jeans Company Women's Color Your World Sadie Straight,Liverpool Jeans Company,79.0,Women,1B33D16FC562464579B7199CA3114982,4
4908,43.054999920539558,Jeans,Liverpool Jeans Company Women's Color Your World Sadie Straight,Liverpool Jeans Company,79.0,Women,1B33D16FC562464579B7199CA3114982,4
13694,5.4599999822676173,Accessories,Layered Circle Infinity Scarf,Echomerx,14.0,Women,42AE58924107D3BE8C6B7B7E3CFD4164,3
13694,5.4599999822676173,Accessories,Layered Circle Infinity Scarf,Echomerx,14.0,Women,42AE58924107D3BE8C6B7B7E3CFD4164,3
255,5.3446498604290191,Tops & Tees,Tie-Dyes Junior Sublimation-Dyed Crewneck T-Shirt. 1455,TIE-DYES,9.9899997711181641,Women,FE131D7F5A6B38B23CC967316C13DAE2,3
255,5.3446498604290191,Tops & Tees,Tie-Dyes Junior Sublimation-Dyed Crewneck T-Shirt. 1455,TIE-DYES,9.9899997711181641,Women,FE131D7F5A6B38B23CC967316C13DAE2,3
13715,5.8062799049627785,Accessories,Dorfman Pacific Womens Cloche Hat,Dorfman Pacific,15.159999847412108,Women,C5A264A82289018331673285E24D9DD8,6
13671,14.317660740252734,Accessories,Plain Colour Design 100% Pashmina Shawl Scarf Wrap Stole Throw,Pashmina,32.9900016784668,Women,CC0A521E0F695AA06ED11384FB616AC3,2
5059,19.635090839620528,Jeans,Levi's Juniors' Demi Curve ID Skinny Jean,Levi's,39.9900016784668,Women,70117EE3C0B15A2950F1E82A215E812B,4
104,105.92999966070056,Tops & Tees,Plenty by Tracy Reese Women's Open Placket Shirt,Plenty by Tracy Reese,198.0,Women,C9E1074F5B3F9FC8EA15D152ADD07294,1
13715,5.8062799049627785,Accessories,Dorfman Pacific Womens Cloche Hat,Dorfman Pacific,15.159999847412108,Women,C5A264A82289018331673285E24D9DD8,6
13671,14.317660740252734,Accessories,Plain Colour Design 100% Pashmina Shawl Scarf Wrap Stole Throw,Pashmina,32.9900016784668,Women,CC0A521E0F695AA06ED11384FB616AC3,2
5059,19.635090839620528,Jeans,Levi's Juniors' Demi Curve ID Skinny Jean,Levi's,39.9900016784668,Women,70117EE3C0B15A2950F1E82A215E812B,4
104,105.92999966070056,Tops & Tees,Plenty by Tracy Reese Women's Open Placket Shirt,Plenty by Tracy Reese,198.0,Women,C9E1074F5B3F9FC8EA15D152ADD07294,1
13715,5.8062799049627785,Accessories,Dorfman Pacific Womens Cloche Hat,Dorfman Pacific,15.159999847412108,Women,C5A264A82289018331673285E24D9DD8,6
